tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Pearl,10,23.2k,29.8k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Bind,25,24.1k,0.9k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Abyss,20,23.0k,5.7k,Full buy: 20k+,Win,624
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Haven,1,4.0k,0.2k,Eco: 0-5k,Win,14
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Split,8,25.5k,8.8k,Full buy: 20k+,Win,14
Champions Tour 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Lotus,18,23.5k,12.4k,Full buy: 20k+,Win,2406
Champions Tour 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,Split,8,22.1k,6.0k,Full buy: 20k+,Win,2355
Champions Tour 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,Abyss,15,16.3k,11.6k,Semi-buy: 10-20k,Loss,188
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,Lotus,24,23.8k,9.5k,Full buy: 20k+,Win,
Champions Tour 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,Pearl,18,21.1k,5.0k,Full buy: 20k+,Win,11058
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,Split,10,24.8k,31.8k,Full buy: 20k+,Win,7386
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Abyss,20,18.5k,1.7k,Semi-buy: 10-20k,Loss,
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Bind,9,23.5k,20.9k,Full buy: 20k+,Win,2355
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,Bind,4,22.6k,4.1k,Full buy: 20k+,Loss,6961
Champions Tour 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Abyss,2,3.0k,9.2k,Eco: 0-5k,Win,2
Champions Tour 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,8,20.1k,3.1k,Full buy: 20k+,Loss,11058
Champions Tour 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,15,21.1k,11.6k,Full buy: 20k+,Win,2
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Pearl,18,4.5k,9.9k,Eco: 0-5k,Loss,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Split,1,3.5k,0.2k,Eco: 0-5k,Loss,474
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Icebox,18,21.2k,3.8k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Haven,1,3.9k,0.1k,Eco: 0-5k,Win,1001
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,31,24.0k,1.2k,Full buy: 20k+,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,41,23.6k,1.2k,Full buy: 20k+,Win,1184
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,Lotus,11,23.0k,16.1k,Full buy: 20k+,Win,14419
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Icebox,12,25.3k,9.1k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Icebox,14,14.3k,6.1k,Semi-buy: 10-20k,Win,8877
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Split,11,23.4k,7.0k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Ascent,15,17.2k,11.6k,Semi-buy: 10-20k,Win,4915
Champions Tour 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Fracture,2,13.0k,4.3k,Semi-buy: 10-20k,Loss,2593
Champions Tour 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Icebox,21,23.5k,13.2k,Full buy: 20k+,Win,2593
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,Split,18,23.0k,2.7k,Full buy: 20k+,Loss,397
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Haven,14,16.0k,0.9k,Semi-buy: 10-20k,Loss,1001
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Fracture,17,22.4k,8.8k,Full buy: 20k+,Win,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,11,20.6k,1.3k,Full buy: 20k+,Win,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,14,10.5k,1.4k,Semi-buy: 10-20k,Loss,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Haven,10,24.7k,14.4k,Full buy: 20k+,Loss,6199
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Split,18,20.3k,1.7k,Full buy: 20k+,Loss,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Pearl,11,20.6k,3.9k,Full buy: 20k+,Loss,11060
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,Lotus,4,7.2k,9.6k,Semi-eco: 5-10k,Loss,278
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Icebox,22,18.4k,2.0k,Semi-buy: 10-20k,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Ascent,18,20.2k,7.4k,Full buy: 20k+,Win,278
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,Pearl,11,22.7k,4.8k,Full buy: 20k+,Loss,5448
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Icebox,11,24.1k,19.4k,Full buy: 20k+,Win,17
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,DRX vs T1,Lotus,27,23.9k,0.9k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,Split,11,11.4k,7.3k,Semi-buy: 10-20k,Loss,466
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,15,,0.7k,Full buy: 20k+,Loss,1001
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Sunset,11,,13.1k,Full buy: 20k+,Loss,12010
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Icebox,8,,6.0k,Full buy: 20k+,Loss,474
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,5,,18.2k,Full buy: 20k+,Loss,13790
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,3,,1.0k,Full buy: 20k+,Win,2593
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,22,,2.4k,Full buy: 20k+,Loss,17
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Haven,13,,0.5k,Eco: 0-5k,Loss,11058
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Icebox,21,,6.5k,Semi-buy: 10-20k,Loss,17
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,Sunset,5,,20.7k,Full buy: 20k+,Loss,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,Split,19,,6.4k,Full buy: 20k+,Loss,2593
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,14,,6.4k,Semi-buy: 10-20k,Win,2593
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Pearl,22,,28.2k,Full buy: 20k+,Win,624
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Lotus,3,,9.7k,Eco: 0-5k,Loss,624
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Haven,14,1.9k,9.4k,Eco: 0-5k,Loss,8877
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Ascent,9,19.4k,1.0k,Semi-buy: 10-20k,Win,624
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,5,23.3k,14.5k,Full buy: 20k+,Loss,624
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Pearl,10,22.4k,5.5k,Full buy: 20k+,Loss,878
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Icebox,2,5.2k,6.6k,Semi-eco: 5-10k,Loss,878
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Ascent,8,24.2k,17.5k,Full buy: 20k+,Loss,878
Champions Tour 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Icebox,12,27.7k,7.1k,Full buy: 20k+,Win,17
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Split,3,4.9k,7.5k,Eco: 0-5k,Loss,2355
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Lotus,5,22.3k,2.3k,Full buy: 20k+,Loss,11058
