tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Icebox,harbor,1,0,1,12010
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Icebox,jett,0,1,1,624
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Split,cypher,1,0,1,13790
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,clove,0,1,2,474
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,gekko,0,1,1,13581
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,Lotus,tejo,0,1,1,4915
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,raze,0,1,1,1001
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Split,astra,0,1,1,4915
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Icebox,viper,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Pearl,sova,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,yoru,1,0,1,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,tejo,1,0,1,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,astra,0,1,1,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Pearl,cypher,0,1,1,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,omen,1,0,1,1001
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Haven,yoru,0,1,4,397
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Fracture,breach,0,1,1,14
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Icebox,iso,1,0,1,5448
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,vyse,0,2,2,878
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Ascent,tejo,0,2,4,17
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Lotus,astra,0,1,1,12064
VCT 2025: China Stage 1,Group Stage,Week 1,Fracture,waylay,0,1,1,731
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Fracture,breach,2,1,3,474
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Ascent,vyse,1,1,2,8304
VCT 2025: China Stage 1,Group Stage,Week 2,Icebox,killjoy,1,0,1,731
VCT 2025: China Stage 1,Group Stage,Week 3,Fracture,cypher,0,1,1,1119
VCT 2025: China Stage 1,Group Stage,Week 3,Split,deadlock,1,0,1,14137
VCT 2025: China Stage 1,Group Stage,Week 4,Haven,omen,1,0,1,11981
VCT 2025: China Stage 1,Group Stage,Week 4,Split,deadlock,0,1,1,1119
VCT 2025: China Stage 1,All Stages,All Match Types,Split,cypher,1,0,1,13581
VCT 2025: China Stage 1,All Stages,All Match Types,Ascent,jett,1,0,1,14137
VCT 2025: Americas Stage 1,Group Stage,Week 1,Haven,iso,1,0,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 2,Split,viper,1,0,1,188
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,neon,1,1,3,
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,tejo,5,1,6,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,waylay,5,1,6,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,tejo,0,1,3,2406
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,sova,0,2,2,188
Valorant Masters Bangkok 2025,Playoffs,Upper Final,Split,viper,1,0,1,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Pearl,tejo,1,0,1,1120
Valorant Masters Bangkok 2025,All Stages,All Match Types,Abyss,tejo,0,1,1,2
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Pearl,sova,1,0,1,12694
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Pearl,sova,0,1,1,12694
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Haven,iso,0,1,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Fracture,sova,0,1,1,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Fracture,brimstone,1,0,1,4915
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Abyss,sova,0,1,1,12694
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Abyss,fade,0,1,1,1184
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Split,skye,0,1,1,14419
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Fracture,brimstone,1,0,1,878
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Split,tejo,1,0,1,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Fracture,killjoy,1,0,1,624
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Bind,raze,1,0,1,8304
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Fracture,tejo,3,0,3,8185
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Pearl,killjoy,0,1,1,120
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Pearl,jett,0,1,1,2359
VCT 2025: Americas Kickoff,All Stages,All Match Types,Split,raze,2,1,3,6961
VCT 2025: Americas Kickoff,All Stages,All Match Types,Pearl,astra,1,0,1,
VCT 2025: Americas Kickoff,All Stages,All Match Types,Pearl,tejo,1,0,1,
VCT 2025: Americas Kickoff,All Stages,All Match Types,Fracture,tejo,1,0,1,5248
VCT 2025: Americas Kickoff,All Stages,All Match Types,Haven,sova,0,1,1,2
VCT 2025: China Kickoff,Main Event,Lower Round 1,Fracture,breach,1,0,1,13576
VCT 2025: China Kickoff,Main Event,Lower Round 1,Fracture,brimstone,1,0,1,13576
VCT 2025: China Kickoff,Main Event,Lower Round 3,Bind,skye,0,1,1,13581
VCT 2025: China Kickoff,All Stages,All Match Types,Split,vyse,0,2,2,13790
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,breach,1,2,3,14137
VCT 2025: China Kickoff,All Stages,All Match Types,Pearl,astra,2,0,2,11328
Valorant Champions 2025,Playoffs,Lower Round 2,Ascent,kayo,0,1,1,7386
Valorant Champions 2025,Group Stage,Opening (B),Abyss,astra,1,0,1,2593
Valorant Champions 2025,Group Stage,Elimination (B),Lotus,raze,0,1,1,12010
Valorant Champions 2025,Group Stage,Opening (C),Abyss,omen,0,1,1,1120
Valorant Champions 2025,Group Stage,Elimination (C),Bind,viper,1,0,1,474
Valorant Champions 2025,Group Stage,Winner's (D),Sunset,omen,1,0,1,1001
Valorant Champions 2025,All Stages,All Match Types,Bind,viper,2,0,2,1001
Valorant Champions 2025,All Stages,All Match Types,Corrode,viper,1,1,2,1001
Valorant Champions 2025,All Stages,All Match Types,Ascent,omen,0,1,1,878
Valorant Champions 2025,All Stages,All Match Types,Lotus,vyse,1,2,3,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,Ascent,yoru,1,0,1,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Bind,brimstone,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Sunset,cypher,1,0,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,yoru,1,0,1,278
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Ascent,omen,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Ascent,omen,0,1,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Ascent,killjoy,1,0,1,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Icebox,killjoy,0,1,1,8304
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Sunset,omen,1,1,2,624
VCT 2025: China Stage 2,Playoffs,Lower Final,Haven,yoru,0,1,1,1120
VCT 2025: China Stage 2,Group Stage,Week 2,Lotus,raze,1,0,1,1119
VCT 2025: China Stage 2,Group Stage,Week 4,Sunset,neon,1,0,1,12010
VCT 2025: China Stage 2,All Stages,All Match Types,Corrode,omen,2,1,3,731
VCT 2025: China Stage 2,All Stages,All Match Types,Corrode,fade,2,1,3,731
VCT 2025: China Stage 2,All Stages,All Match Types,Corrode,omen,0,2,3,13790
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,raze,1,1,2,11328
VCT 2025: China Stage 2,All Stages,All Match Types,Lotus,cypher,1,2,6,13581
VCT 2025: China Stage 2,All Stages,All Match Types,Lotus,yoru,1,0,2,13790
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,Ascent,sova,0,1,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Icebox,kayo,0,1,1,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Sunset,omen,0,1,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Corrode,deadlock,1,0,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,sova,0,1,1,14419
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,viper,1,2,3,474
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,gekko,1,0,3,397
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Lotus,vyse,4,0,4,474
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Haven,omen,1,0,1,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Corrode,waylay,0,1,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 4,Haven,cypher,0,1,1,2355
VCT 2025: Americas Stage 2,All Stages,All Match Types,Haven,omen,0,1,1,2406
VCT 2025: Americas Stage 2,All Stages,All Match Types,Icebox,viper,1,1,2,6961
VCT 2025: Americas Stage 2,All Stages,All Match Types,Lotus,omen,3,4,7,188
VCT 2025: Americas Stage 2,All Stages,All Match Types,Corrode,sova,2,0,2,120
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Split,raze,1,0,1,474
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Ascent,yoru,1,0,1,13790
Valorant Masters Toronto 2025,All Stages,All Match Types,Pearl,sova,0,1,2,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,gekko,0,1,1,2593
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Split,viper,0,1,1,474
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Split,yoru,1,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Icebox,sova,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Ascent,omen,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Lotus,vyse,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Split,tejo,1,0,1,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,yoru,0,1,1,2593
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,jett,0,1,2,1184
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Pearl,astra,2,1,3,8877
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Lotus,omen,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Haven,omen,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Ascent,phoenix,1,0,1,466
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Lotus,viper,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Lotus,waylay,0,1,1,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Ascent,omen,0,1,1,918
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Split,viper,0,1,1,5448
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,killjoy,3,2,5,878
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,tejo,0,1,1,11060
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Lotus,cypher,0,1,1,11981
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Icebox,harbor,1,0,1,12010
VCT 2025: China Stage 1,Group Stage,Week 4,Icebox,kayo,1,0,1,731
VCT 2025: China Stage 1,All Stages,All Match Types,Fracture,vyse,0,2,2,12685
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Split,tejo,0,1,1,2
VCT 2025: Americas Stage 1,Group Stage,Week 1,Lotus,tejo,0,1,1,188
VCT 2025: Americas Stage 1,Group Stage,Week 1,Lotus,iso,0,1,1,15072
VCT 2025: Americas Stage 1,Group Stage,Week 2,Haven,omen,1,0,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 2,Ascent,waylay,1,0,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,Haven,tejo,1,0,1,7386
VCT 2025: Americas Stage 1,Group Stage,Week 3,Lotus,tejo,1,0,1,7386
VCT 2025: Americas Stage 1,Group Stage,Week 4,Lotus,tejo,1,0,1,6961
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Split,raze,0,1,1,14
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Pearl,fade,1,0,1,1120
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Lotus,viper,1,0,1,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Abyss,tejo,0,1,1,2059
Valorant Masters Bangkok 2025,All Stages,All Match Types,Abyss,yoru,2,0,2,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Pearl,tejo,1,0,1,1184
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Lotus,killjoy,1,0,1,1001
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Haven,cypher,0,1,1,1001
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Haven,breach,0,1,1,7035
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Bind,vyse,0,1,1,397
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Split,fade,0,1,1,397
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Lotus,yoru,1,1,2,8877
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,killjoy,1,0,1,14419
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Split,breach,0,1,1,2593
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Pearl,astra,0,1,1,6199
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Bind,vyse,0,1,1,14
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Bind,viper,1,0,1,8185
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Lotus,fade,0,1,1,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Bind,vyse,0,1,1,11060
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Split,cypher,1,0,1,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Fracture,neon,0,1,1,5448
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Split,raze,0,1,1,624
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Lotus,tejo,0,1,1,918
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Lotus,omen,1,0,1,624
VCT 2025: Americas Kickoff,All Stages,All Match Types,Pearl,astra,1,1,2,6961
VCT 2025: China Kickoff,Main Event,Upper Round 1,Fracture,sova,0,1,1,731
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Lotus,viper,1,0,1,12010
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Lotus,neon,0,1,1,13581
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bind,raze,1,0,1,12010
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bind,clove,0,1,1,11328
VCT 2025: China Kickoff,Main Event,Lower Round 1,Pearl,cypher,1,0,1,11981
VCT 2025: China Kickoff,Main Event,Lower Round 1,Pearl,kayo,1,0,1,11981
VCT 2025: China Kickoff,Main Event,Lower Round 3,Bind,gekko,0,1,1,13581
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,neon,2,0,2,1120
VCT 2025: China Kickoff,All Stages,All Match Types,Bind,sova,0,1,1,11328
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,viper,1,0,1,624
Valorant Champions 2025,Group Stage,Winner's (B),Haven,viper,1,0,1,2593
Valorant Champions 2025,Group Stage,Winner's (B),Haven,yoru,1,0,1,2593
Valorant Champions 2025,Group Stage,Elimination (B),Lotus,viper,0,1,1,12010
Valorant Champions 2025,Group Stage,Opening (D),Corrode,yoru,1,0,1,1001
Valorant Champions 2025,All Stages,All Match Types,Corrode,waylay,1,2,3,8185
Valorant Champions 2025,All Stages,All Match Types,Abyss,omen,1,0,1,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Bind,fade,0,1,1,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,Ascent,yoru,0,1,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,omen,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,raze,0,1,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,vyse,1,0,1,5448
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,viper,1,0,2,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Sunset,fade,4,2,6,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Ascent,neon,0,2,5,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,omen,1,0,1,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,fade,2,1,3,8185
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,raze,1,2,3,466
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,omen,0,1,1,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,neon,0,3,3,466
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,Corrode,neon,0,1,1,1120
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Sunset,yoru,0,1,1,11328
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Lotus,yoru,0,1,1,1119
VCT 2025: China Stage 2,Group Stage,Week 2,Bind,yoru,1,0,1,1119
VCT 2025: China Stage 2,Group Stage,Week 2,Ascent,vyse,1,0,1,13576
VCT 2025: China Stage 2,Group Stage,Week 2,Ascent,sova,0,1,1,12010
VCT 2025: China Stage 2,All Stages,All Match Types,Sunset,viper,2,1,3,1119
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,yoru,0,1,1,11981
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,Ascent,omen,1,0,1,14419
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,Ascent,sova,1,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,breach,0,1,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,fade,0,1,1,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Bind,gekko,1,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,sova,0,1,1,8877
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,cypher,0,1,2,8877
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,viper,1,2,3,397
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Corrode,omen,1,0,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Lotus,fade,0,1,1,188
VCT 2025: Americas Stage 2,Group Stage,Week 1,Bind,brimstone,0,1,1,6961
VCT 2025: Americas Stage 2,Group Stage,Week 1,Ascent,omen,1,0,1,6961
VCT 2025: Americas Stage 2,Group Stage,Week 1,Ascent,sova,0,1,1,7386
VCT 2025: Americas Stage 2,Group Stage,Week 1,Icebox,harbor,0,1,1,2359
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sunset,yoru,1,0,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 1,Lotus,fade,1,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 5,Sunset,sova,1,0,1,2355
VCT 2025: Americas Stage 2,All Stages,All Match Types,Bind,fade,1,3,4,
VCT 2025: Americas Stage 2,All Stages,All Match Types,Icebox,harbor,3,0,3,
VCT 2025: Americas Stage 2,All Stages,All Match Types,Sunset,cypher,0,1,2,2406
VCT 2025: Americas Stage 2,All Stages,All Match Types,Corrode,fade,3,1,4,2
VCT 2025: Americas Stage 2,All Stages,All Match Types,Corrode,neon,0,2,2,2355
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Ascent,kayo,0,1,1,878
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,sova,1,1,2,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Split,astra,1,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Icebox,killjoy,1,0,1,12694
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Ascent,astra,0,1,4,397
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Fracture,tejo,0,1,1,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Split,omen,1,0,1,878
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Haven,breach,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Icebox,jett,1,0,1,466
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,brimstone,1,1,2,17
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,tejo,2,1,3,8304
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,yoru,0,1,2,5448
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Fracture,raze,1,0,1,11981
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Lotus,yoru,1,0,1,12685
VCT 2025: China Stage 1,Playoffs,Lower Final,Icebox,viper,1,0,1,12010
VCT 2025: China Stage 1,Group Stage,Week 1,Haven,breach,1,0,1,1120
VCT 2025: China Stage 1,Group Stage,Week 4,Haven,cypher,0,1,1,13790
VCT 2025: China Stage 1,Group Stage,Week 4,Lotus,omen,0,1,1,12010
VCT 2025: China Stage 1,Group Stage,Week 4,Lotus,yoru,1,0,1,12685
VCT 2025: China Stage 1,Group Stage,Week 4,Pearl,vyse,1,0,1,13581
VCT 2025: China Stage 1,Group Stage,Week 4,Icebox,gekko,0,1,1,14137
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Fracture,brimstone,0,1,1,
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Ascent,waylay,1,0,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 2,Lotus,tejo,1,0,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 2,Lotus,vyse,1,0,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 2,Split,omen,0,1,1,2359
VCT 2025: Americas Stage 1,Group Stage,Week 3,Pearl,tejo,1,0,1,2359
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,jett,2,1,3,2
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Pearl,yoru,0,1,1,14
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Haven,tejo,1,0,1,11058
Valorant Masters Bangkok 2025,All Stages,All Match Types,Bind,tejo,2,1,3,2059
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,breach,0,1,1,8877
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,cypher,0,1,1,5448
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Abyss,omen,1,0,1,17
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Abyss,yoru,0,1,1,14
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Bind,brimstone,1,0,1,120
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Haven,clove,1,0,1,2406
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Haven,jett,0,1,1,2355
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Bind,viper,1,0,1,2
VCT 2025: Americas Kickoff,Main Event,Lower Final,Lotus,raze,0,1,1,7386
VCT 2025: China Kickoff,Main Event,Upper Round 1,Fracture,raze,0,1,1,731
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Lotus,fade,0,1,1,1120
VCT 2025: China Kickoff,Main Event,Upper Final,Lotus,viper,1,0,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 1,Abyss,cypher,1,0,1,13790
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,viper,0,1,1,2593
Valorant Champions 2025,Playoffs,Lower Round 1,Lotus,vyse,0,1,1,8185
Valorant Champions 2025,Playoffs,Lower Final,Sunset,sova,1,0,1,8185
Valorant Champions 2025,Group Stage,Elimination (A),Abyss,sova,1,0,1,2
Valorant Champions 2025,Group Stage,Decider (C),Abyss,waylay,1,0,1,8185
Valorant Champions 2025,All Stages,All Match Types,Bind,brimstone,2,1,3,624
Valorant Champions 2025,All Stages,All Match Types,Lotus,omen,1,0,1,878
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Lotus,fade,0,1,1,8185
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,Haven,omen,1,0,1,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,Ascent,vyse,0,1,1,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Bind,raze,0,1,1,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Sunset,sova,0,1,1,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Bind,skye,0,1,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Ascent,sova,1,0,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,fade,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,omen,1,0,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,raze,0,1,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Ascent,kayo,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Lotus,omen,0,1,1,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Icebox,viper,1,0,1,8185
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Sunset,deadlock,0,1,1,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Ascent,killjoy,3,1,4,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,cypher,1,0,6,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,sova,0,1,2,918
VCT 2025: China Stage 2,Group Stage,Week 3,Haven,viper,0,1,1,1119
VCT 2025: China Stage 2,Group Stage,Week 3,Corrode,deadlock,1,0,1,1120
VCT 2025: China Stage 2,Group Stage,Week 3,Icebox,viper,0,1,1,12010
VCT 2025: China Stage 2,Group Stage,Week 4,Bind,brimstone,0,1,1,13790
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,killjoy,0,2,2,1119
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,jett,0,1,2,13790
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Icebox,viper,0,1,1,1001
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Icebox,viper,0,1,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Corrode,omen,1,0,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Lotus,breach,0,1,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Bind,viper,1,0,1,1001
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,omen,2,1,3,4915
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,omen,0,2,2,11479
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,yoru,0,2,2,11479
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Sunset,cypher,0,1,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 1,Bind,yoru,1,0,1,120
