tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Haven,$$$ (won),13,7,11058
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,$ (won),1,0,1001
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Sunset,$ (won),1,0,14
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,All Maps,$ (won),1,0,1001
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,All Maps,$ (won),0,0,
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,All Maps,$$ (won),2,2,
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind,$ (won),0,0,14419
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,All Maps,$ (won),6,3,1001
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Ascent,$$$ (won),21,13,8185
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,$$ (won),2,2,2593
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Haven,$$$ (won),11,8,11058
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Sunset,$ (won),0,0,15072
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Lotus,$ (won),0,0,
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Lotus,$$$ (won),12,10,2
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Bind,Eco (won),4,0,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Sunset,Eco (won),3,1,2359
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,All Maps,$$$ (won),38,20,2359
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,All Maps,$ (won),2,2,2355
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Bind,$$$ (won),11,8,120
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Pistol Won,0,3,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Lotus,Pistol Won,0,2,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Lotus,$ (won),3,0,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Haven,$$$ (won),10,8,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Ascent,Pistol Won,0,1,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,All Maps,Pistol Won,0,3,397
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Haven,$$$ (won),10,4,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,All Maps,$$$ (won),48,29,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,All Maps,$$ (won),2,0,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Sunset,$$ (won),6,3,8877
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Bind,Eco (won),2,2,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Haven,$$ (won),3,2,4915
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,All Maps,Pistol Won,0,3,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Ascent,$ (won),2,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Corrode,Pistol Won,0,0,14
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,All Maps,$ (won),2,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,All Maps,Pistol Won,0,3,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Ascent,$$ (won),1,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,All Maps,Eco (won),5,3,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Haven,Eco (won),4,1,14
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,All Maps,Eco (won),8,5,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Sunset,Pistol Won,0,1,17
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,All Maps,$$$ (won),41,25,878
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Pistol Won,0,1,878
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,$$ (won),4,0,1001
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,$$$ (won),48,28,17
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,$$$ (won),14,9,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,Pistol Won,0,1,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Pearl,$ (won),0,0,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,All Maps,Pistol Won,0,3,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Split,Pistol Won,0,1,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,All Maps,$$ (won),13,8,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Icebox,$ (won),0,0,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Fracture,$ (won),0,0,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,All Maps,$$$ (won),20,8,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,Eco (won),3,1,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,$$ (won),8,3,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,Pistol Won,0,1,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Pearl,Pistol Won,0,0,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Icebox,$$ (won),4,3,624
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Pearl,Eco (won),3,0,
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Haven,Eco (won),3,0,6961
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Fracture,Pistol Won,0,1,
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Split,Eco (won),4,0,120
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Pearl,Pistol Won,0,1,2355
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,$$$ (won),14,7,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,All Maps,$$ (won),13,5,
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Haven,Eco (won),3,0,11058
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Ascent,$$ (won),5,3,2
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Pearl,$$$ (won),13,9,1120
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Abyss,$$$ (won),15,10,8185
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Abyss,Eco (won),2,2,474
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,All Maps,$$ (won),11,5,1120
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Haven,$$$ (won),10,6,14
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,$$$ (won),15,9,4915
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,$$ (won),5,3,397
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,$$ (won),1,0,14419
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,$$$ (won),14,9,7035
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Abyss,$$$ (won),13,11,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Abyss,Eco (won),3,2,1184
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Bind,Eco (won),3,1,474
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,Pistol Won,0,0,474
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Fracture,$ (won),0,0,8304
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,All Maps,$$ (won),12,7,11060
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,All Maps,$ (won),4,1,878
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,$$$ (won),13,9,14
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Split,Pistol Won,0,2,6961
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Lotus,$$$ (won),10,7,2406
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Pearl,$$ (won),8,3,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Haven,$$ (won),6,5,
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,$$ (won),2,2,2
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind,$ (won),2,0,474
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,All Maps,Eco (won),10,4,6961
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Sunset,$$ (won),4,3,2359
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Sunset,Pistol Won,0,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,All Maps,$$$ (won),32,17,2355
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Sunset,$$$ (won),11,11,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Corrode,$$$ (won),14,7,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,$ (won),3,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Lotus,Eco (won),3,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Bind,$$$ (won),15,10,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,All Maps,$$ (won),7,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,All Maps,$$$ (won),27,20,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Bind,Eco (won),2,2,397
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Bind,$$ (won),4,1,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Icebox,$$ (won),5,5,878
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Lotus,$$$ (won),14,7,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,Icebox,Pistol Won,0,1,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,All Maps,Eco (won),6,2,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Sunset,Pistol Won,0,1,14
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Eco (won),4,0,19507
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Pistol Won,0,0,17
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Pistol Won,0,3,17
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Pistol Won,0,2,17
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,All Maps,$$ (won),10,3,11058
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,Eco (won),4,0,13790
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,$$$ (won),17,13,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,All Maps,Pistol Won,0,3,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Fracture,Pistol Won,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Haven,$$$ (won),17,11,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,All Maps,$ (won),1,0,2059
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Fracture,$ (won),2,0,2059
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Haven,Pistol Won,0,0,474
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Icebox,Eco (won),2,2,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,Pearl,$$$ (won),17,9,918
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,All Maps,$ (won),2,1,918
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,All Maps,Pistol Won,0,3,14
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,All Maps,Pistol Won,0,3,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,$ (won),2,2,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Icebox,$$$ (won),12,5,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,$$$ (won),13,6,278
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Split,Pistol Won,0,0,918
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,All Maps,$ (won),1,1,466
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,All Maps,Pistol Won,0,5,6199
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Ascent,$ (won),0,0,624
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,All Maps,$ (won),4,0,5248
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,All Maps,$$ (won),10,9,
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,Pistol Won,0,2,2
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Lotus,Pistol Won,0,2,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Pearl,$$ (won),5,4,2359
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,All Maps,$ (won),4,2,11058
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Lotus,Pistol Won,0,1,5248
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Pearl,$$$ (won),7,3,2
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,All Maps,$$$ (won),16,6,15072
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Lotus,Eco (won),3,1,7386
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Split,$$ (won),6,2,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,Eco (won),3,3,5248
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Bind,$$$ (won),12,6,14
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Fracture,Eco (won),4,0,14
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Haven,Eco (won),4,1,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,$ (won),0,0,8877
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,Eco (won),4,1,12694
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,All Maps,Pistol Won,0,2,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,$ (won),0,0,474
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,Pistol Won,0,1,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,All Maps,Eco (won),9,3,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Pearl,$ (won),2,1,624
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,Haven,Eco (won),3,1,2355
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,Haven,$ (won),1,1,6961
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,Split,Pistol Won,0,0,2355
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,All Maps,$ (won),2,0,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Bind,$$$ (won),9,3,7386
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,$ (won),1,0,
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus,Eco (won),3,1,878
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Abyss,Eco (won),2,2,8185
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,$ (won),1,0,2593
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,$$ (won),1,1,8185
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,$$$ (won),9,3,8185
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,$$$ (won),14,10,7386
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,All Maps,$$ (won),13,6,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind,$ (won),0,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Icebox,$$$ (won),4,0,2406
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Icebox,Eco (won),4,0,120
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Lotus,$$$ (won),11,5,2355
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus,$$ (won),9,4,188
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,$ (won),1,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,Pistol Won,0,0,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Lotus,$$$ (won),11,5,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,All Maps,Pistol Won,0,1,11479
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Sunset,Pistol Won,0,2,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,All Maps,Pistol Won,0,5,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,Corrode,Pistol Won,0,2,278
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,Corrode,$$ (won),2,2,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,All Maps,$$ (won),8,5,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Lotus,Pistol Won,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Lotus,Pistol Won,0,1,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,All Maps,Eco (won),6,3,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Lotus,Pistol Won,0,1,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,All Maps,$$$ (won),42,28,878
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Lotus,Pistol Won,0,1,13790
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Lotus,$ (won),1,0,13790
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Split,$$$ (won),12,5,12010
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Lotus,$$$ (won),14,9,474
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,All Maps,$$ (won),10,6,624
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,$$ (won),2,0,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,All Maps,$$ (won),16,7,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,Icebox,$$ (won),3,2,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,All Maps,Pistol Won,0,2,8877
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Icebox,$$$ (won),13,5,474
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,$$$ (won),7,4,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,Pistol Won,0,1,17
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Lotus,Pistol Won,0,2,466
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Lotus,Pistol Won,0,1,918
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Fracture,$$$ (won),16,10,8185
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Lotus,$$ (won),4,3,878
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,All Maps,Pistol Won,0,1,2406
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Pearl,$$$ (won),9,7,
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,All Maps,Pistol Won,0,4,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,$$$ (won),7,3,5248
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Pearl,$ (won),2,0,2406
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Split,$ (won),0,0,2
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Pearl,$$$ (won),17,9,188
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Icebox,Pistol Won,0,0,2359
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Split,$$ (won),3,2,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,All Maps,$$$ (won),26,12,188
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,Eco (won),3,1,2355
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,$$$ (won),10,8,14
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Lotus,$$$ (won),14,10,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,$ (won),1,0,8877
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,$ (won),3,0,8877
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Abyss,$$ (won),4,3,11479
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Lotus,$$ (won),5,3,1001
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,All Maps,Pistol Won,0,5,474
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Pearl,$$ (won),4,3,878
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,All Maps,$$ (won),19,4,278
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,$$$ (won),14,8,11060
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,All Maps,Eco (won),12,2,918
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,All Maps,$ (won),10,3,8185
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,All Maps,Eco (won),6,2,5248
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,All Maps,Pistol Won,0,2,2406
