tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,All Maps,$$$ (won),48,30,11058
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,$$$ (won),14,10,11058
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,Pistol Won,0,1,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Eco (won),3,1,11479
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Haven,$ (won),0,0,474
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Fracture,Pistol Won,0,1,11060
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Bind,Pistol Won,0,2,8304
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,All Maps,$$ (won),21,12,14
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,All Maps,$ (won),3,1,5248
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,All Maps,Eco (won),8,4,188
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,All Maps,Pistol Won,0,2,2359
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,Pearl,$$$ (won),13,7,7386
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,Haven,$$ (won),5,2,2355
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Bind,Pistol Won,0,1,7386
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Abyss,Pistol Won,0,0,2
